"Data Source","World Development Indicators",

"Last Updated Date","2022-12-22",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Central Europe and the Baltics","CEB","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","66.8879036295229","67.7919207442905","67.1462547043127","91.9077661782352","92.8092594523658","92.3177916326745","90.4316392369628","93.8792847658569","90.8166530947878","94.2950455602035","94.8905012029207","94.3597460523758","92.1070367622789","88.5297835110799","94.2568407779825","94.9627838528132","96.1096570254864","96.2898372792392","96.5566293190922","97.1642197454084","96.6852629472213","96.8493045098706","97.4912072366997","97.0669707935652","97.0973541573045","97.4375065470947","97.3773126837852","97.5657630749416","97.2743499224273","97.2197809086493","97.1557730668953","96.5300925637322","96.5760963349041","96.3453185821121","95.1812296839137","94.074369267319","93.7088679598753","93.0956741913455","93.4002955747738","93.1714422399389","87.50659455969","87.4913915283458",
"Switzerland","CHE","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","","","","","","","70","70","70","90","90","83","83","83","83","83","83","83","81","82","82","82","82","82","82","87","87","87","92","92","92","93","93","93","94","94","94","95","95","95","97","95",
"Channel Islands","CHI","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","94","95","96","95","94","92","91","92","95","92","97","99","89","94","96","97","93","96","98","94","97","96","95","96","94","90","91","92","96","93","93","91","90","90","97","96","93","93","93","95","91","92",
"China","CHN","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","","","","78","84","88","63","77","95","95","98","92","87","81","75","80","84","83","83","84","84","85","85","85","86","86","93","94","97","99","99","99","99","99","99","99","99","99","99","99","99","99",
"Cote d'Ivoire","CIV","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","","","","","31","31","31","30","31","41","56","57","54","52","55","57","65","68","66","57","68","71","71","70","78","84","73","67","63","67","64","49","74","69","59","67","73","70","75","73","66","68",
"Cameroon","CMR","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","","16","21","25","31","39","44","44","48","56","56","48","37","32","38","46","39","43","47","46","49","51","53","61","64","68","73","74","80","74","79","76","82","83","78","74","71","65","59","60","62","62",
"Congo, Dem. Rep.","COD","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","18","23","25","30","30","40","39","41","44","41","38","17","25","33","39","27","21","20","20","15","46","35","42","49","57","61","63","64","64","65","66","66","69","68","69","65","63","65","64","65","62","55",
"Congo, Rep.","COG","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","49","49","55","59","52","67","69","69","73","75","75","64","60","55","47","38","42","18","21","23","34","35","37","50","65","54","61","59","69","63","75","83","80","80","80","80","67","70","75","73","68","68",
"Colombia","COL","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","13","26","28","43","51","51","45","59","74","81","82","78","74","94","84","95","90","80","78","79","88","93","93","93","92","94","95","95","92","95","88","88","94","92","91","94","93","93","95","95","90","86",
